draw_no,draw_date,number_1,number_2,number_3,sales_amount,sales_count,total_prize
96000001,2007-01-01,3,5,3,1617375,64695,825750
96000002,2007-01-02,6,9,4,1745900,69836,797750
96000003,2007-01-03,2,1,0,2426775,97071,1279000
96000004,2007-01-04,0,3,9,2224525,88981,1258750
96000005,2007-01-05,7,0,0,2355400,94216,1013000
96000006,2007-01-08,7,0,7,2693550,107742,796250
96000007,2007-01-09,4,3,3,2362725,94509,961000
96000008,2007-01-10,2,7,0,3066225,122649,1343750
96000009,2007-01-11,0,5,8,2509225,100369,1981250
96000010,2007-01-12,5,3,9,2536825,101473,6617500
96000011,2007-01-15,6,5,4,3268575,130743,1139000
96000012,2007-01-16,6,3,0,2703325,108133,991000
96000013,2007-01-17,2,3,6,3014575,120583,1532500
96000014,2007-01-18,5,9,4,2796800,111872,966250
96000015,2007-01-19,3,3,3,2746575,109863,2319500
96000016,2007-01-22,3,4,4,3249750,129990,1200500
96000017,2007-01-23,5,7,7,2743150,109726,1642750
96000018,2007-01-24,5,9,0,3203600,128144,898500
96000019,2007-01-25,0,2,7,2825250,113010,1300500
96000020,2007-01-26,5,4,1,2862125,114485,1067500
96000021,2007-01-29,0,2,1,3214800,128592,1061000
96000022,2007-01-30,9,1,5,2697375,107895,1952250
96000023,2007-01-31,1,2,0,3157450,126298,2377500
96000024,2007-02-01,4,0,1,2961350,118454,1087500
96000025,2007-02-02,3,9,2,2855775,114231,1095750
96000026,2007-02-05,6,3,2,3533450,141338,2231000
96000027,2007-02-06,0,6,6,3020850,120834,1206500
96000028,2007-02-07,6,1,9,3377925,135117,2095000
96000029,2007-02-08,7,0,6,3147025,125881,752250
96000030,2007-02-09,0,2,1,3088400,123536,1564250
96000031,2007-02-12,1,1,8,3463550,138542,2561250
96000032,2007-02-13,9,9,4,2969450,118778,695500
96000033,2007-02-14,7,8,7,3402375,136095,2037500
96000034,2007-02-15,9,9,4,3060200,122408,548000
96000035,2007-02-16,2,1,5,3175325,127013,1997500
96000036,2007-02-19,6,9,4,3274975,130999,1124000
96000037,2007-02-20,4,2,1,3243575,129743,1622250
96000038,2007-02-21,8,7,0,3219850,128794,1376250
96000039,2007-02-22,0,5,2,3149900,125996,1663500
96000040,2007-02-23,3,0,3,3682175,147287,2366250
96000041,2007-02-26,2,4,5,4047300,161892,1890000
96000042,2007-02-27,4,3,1,3290025,131601,1505000
96000043,2007-02-28,8,3,8,3767100,150684,1724000
96000044,2007-03-01,9,0,0,3377200,135088,1079750
96000045,2007-03-02,9,6,7,3210925,128437,1641000
96000046,2007-03-05,5,5,2,3509850,140394,1721250
96000047,2007-03-06,7,1,9,2767575,110703,1097250
96000048,2007-03-07,0,9,3,3133150,125326,1163250
96000049,2007-03-08,3,3,4,2908900,116356,1401250
96000050,2007-03-09,2,3,4,3008850,120354,1614750
96000051,2007-03-12,6,9,8,3403500,136140,1341500
96000052,2007-03-13,4,1,5,2912475,116499,2002000
96000053,2007-03-14,4,2,7,3393125,135725,2005250
96000054,2007-03-15,0,4,6,2977800,119112,1445000
96000055,2007-03-16,4,9,7,3000950,120038,815000
96000056,2007-03-19,9,8,1,3468800,138752,1921250
96000057,2007-03-20,0,2,4,2778450,111138,1085000
96000058,2007-03-21,4,1,7,3245025,129801,1535750
96000059,2007-03-22,7,8,9,2994425,119777,1544750
96000060,2007-03-23,1,8,4,3135175,125407,732750
96000061,2007-03-26,6,0,0,3432975,137319,1535750
96000062,2007-03-27,3,2,7,2668675,106747,3866500
96000063,2007-03-28,7,9,2,3311250,132450,1429500
96000064,2007-03-29,5,9,7,2834050,113362,931750
96000065,2007-03-30,6,3,1,2933250,117330,1886750
96000066,2007-04-02,2,4,4,2838425,113537,1126250
96000067,2007-04-03,5,0,1,2593175,103727,1026750
96000068,2007-04-04,9,4,8,3189550,127582,1206500
96000069,2007-04-05,8,8,4,2435725,97429,1153000
96000070,2007-04-06,6,9,0,2555050,102202,1384750
96000071,2007-04-09,9,8,4,3294075,131763,862500
96000072,2007-04-10,9,6,6,2539775,101591,756750
96000073,2007-04-11,1,2,6,3180575,127223,1647500
96000074,2007-04-12,0,0,4,2984450,119378,700000
96000075,2007-04-13,6,5,7,2796800,111872,1449750
96000076,2007-04-16,6,6,3,3172300,126892,2066250
96000077,2007-04-17,4,7,6,2687675,107507,1871750
96000078,2007-04-18,7,1,5,2965700,118628,2644500
96000079,2007-04-19,6,0,5,2571575,102863,865250
96000080,2007-04-20,4,3,0,2586575,103463,1595500
96000081,2007-04-23,3,9,0,2759250,110370,1499250
96000082,2007-04-24,7,3,5,2401900,96076,1063250
96000083,2007-04-25,4,2,4,2947750,117910,2236500
96000084,2007-04-26,2,2,2,2507075,100283,2765000
96000085,2007-04-27,3,7,8,2594250,103770,1593000
96000086,2007-04-30,8,8,0,2735200,109408,1391500
96000087,2007-05-01,1,4,7,2470850,98834,2177250
96000088,2007-05-02,5,4,9,3005750,120230,1355250
96000089,2007-05-03,5,3,9,2553400,102136,2620250
96000090,2007-05-04,4,9,5,2731975,109279,1024000
96000091,2007-05-07,2,0,9,3148550,125942,1377000
96000092,2007-05-08,0,8,7,2716075,108643,844250
96000093,2007-05-09,2,7,4,3252650,130106,965750
96000094,2007-05-10,3,1,6,2778075,111123,3563750
96000095,2007-05-11,0,1,7,2931575,117263,866500
96000096,2007-05-14,8,4,7,3190525,127621,1085750
96000097,2007-05-15,3,6,7,2840950,113638,1267750
96000098,2007-05-16,0,8,3,3236750,129470,1001250
96000099,2007-05-17,8,8,9,3063725,122549,1595750
96000100,2007-05-18,1,0,1,2930850,117234,2212750
96000101,2007-05-21,2,4,7,3373650,134946,1419250
96000102,2007-05-22,0,2,9,2996225,119849,2185750
96000103,2007-05-23,1,0,0,3206625,128265,1230500
96000104,2007-05-24,0,9,1,3008400,120336,1861500
96000105,2007-05-25,0,0,4,2961600,118464,627500
96000106,2007-05-28,7,8,4,3084125,123365,841250
96000107,2007-05-29,3,6,2,2842375,113695,1549250
96000108,2007-05-30,2,4,1,3159450,126378,1139000
96000109,2007-05-31,4,9,6,3000275,120011,1111000
96000110,2007-06-01,5,5,0,3100250,124010,4505750
96000111,2007-06-04,1,9,8,2992375,119695,1076500
96000112,2007-06-05,3,0,0,2806425,112257,1659000
96000113,2007-06-06,8,9,1,3357300,134292,990500
96000114,2007-06-07,5,3,5,2881375,115255,4490000
96000115,2007-06-08,1,6,5,2632650,105306,962000
96000116,2007-06-11,2,6,5,3185925,127437,903500
96000117,2007-06-12,9,2,2,2793200,111728,1104000
96000118,2007-06-13,0,3,9,3352650,134106,1731750
96000119,2007-06-14,1,3,7,3028425,121137,1393250
96000120,2007-06-15,4,6,0,3159700,126388,943000
96000121,2007-06-18,8,3,9,3116650,124666,722250
96000122,2007-06-19,5,9,8,3082725,123309,1358750
96000123,2007-06-20,2,7,3,3786650,151466,2726500
96000124,2007-06-21,8,5,4,3295875,131835,831750
96000125,2007-06-22,8,3,3,3589800,143592,1241000
96000126,2007-06-25,7,8,8,3767675,150707,1640500
96000127,2007-06-26,8,7,5,3414875,136595,663750
96000128,2007-06-27,2,9,8,3694225,147769,1346750
96000129,2007-06-28,0,4,9,3660350,146414,1645250
96000130,2007-06-29,4,1,6,3304825,132193,5796250
96000131,2007-07-02,5,3,7,3162100,126484,1818250
96000132,2007-07-03,1,4,5,2903250,116130,960000
96000133,2007-07-04,7,3,4,3336750,133470,1238500
96000134,2007-07-05,5,9,0,3224450,128978,2645750
96000135,2007-07-06,3,5,7,3372450,134898,1200750
96000136,2007-07-09,0,5,6,3657825,146313,1240750
96000137,2007-07-10,0,3,3,3174525,126981,1814750
96000138,2007-07-11,7,3,8,3445225,137809,1336500
96000139,2007-07-12,4,5,7,3338075,133523,1117750
96000140,2007-07-13,4,5,6,3564075,142563,1467750
96000141,2007-07-16,7,2,5,3812500,152500,2033000
96000142,2007-07-17,7,6,8,3136450,125458,1350750
96000143,2007-07-18,3,5,3,3775425,151017,1134750
96000144,2007-07-19,6,1,4,3291200,131648,1510000
96000145,2007-07-20,4,7,0,3342350,133694,1558250
96000146,2007-07-23,4,9,4,3770825,150833,2216250
96000147,2007-07-24,6,9,9,3523475,140939,1389000
96000148,2007-07-25,6,5,7,3630025,145201,1206250
96000149,2007-07-26,5,7,4,3338600,133544,1016750
96000150,2007-07-27,5,9,7,3473000,138920,1143000
96000151,2007-07-30,7,9,9,3575600,143024,1298000
96000152,2007-07-31,7,1,4,3458775,138351,835000
96000153,2007-08-01,6,9,7,4039750,161590,1165250
96000154,2007-08-02,1,3,3,3436650,137466,1949000
96000155,2007-08-03,6,6,1,3469825,138793,868750
96000156,2007-08-06,4,0,7,3479675,139187,3191750
96000157,2007-08-07,7,2,9,2989375,119575,1337000
96000158,2007-08-08,2,2,5,3513200,140528,1485000
96000159,2007-08-09,1,4,0,3031175,121247,1802500
96000160,2007-08-10,6,4,4,3021125,120845,792750
96000161,2007-08-13,0,9,9,3293100,131724,1535000
96000162,2007-08-14,9,2,2,2810775,112431,773500
96000163,2007-08-15,7,9,4,3405850,136234,1077250
96000164,2007-08-16,5,5,1,3107275,124291,1729250
96000165,2007-08-17,7,7,9,3113925,124557,1841500
96000166,2007-08-20,0,5,9,3309800,132392,1119500
96000167,2007-08-21,0,2,2,2959825,118393,1091000
96000168,2007-08-22,8,0,4,3162675,126507,1116750
96000169,2007-08-23,4,1,1,3077600,123104,1445750
96000170,2007-08-24,3,8,4,3343700,133748,4635250
96000171,2007-08-27,2,6,7,3064900,122596,1401000
96000172,2007-08-28,9,8,4,2874500,114980,773250
96000173,2007-08-29,6,4,9,3495450,139818,1415000
96000174,2007-08-30,8,8,6,3175800,127032,1538250
96000175,2007-08-31,8,0,5,3413625,136545,821250
96000176,2007-09-03,4,1,8,3770825,150833,1763250
96000177,2007-09-04,0,0,6,3647325,145893,1680500
96000178,2007-09-05,0,9,2,3346675,133867,3054500
96000179,2007-09-06,2,6,8,2968875,118755,1323500
96000180,2007-09-07,0,3,5,3229400,129176,3616750
96000181,2007-09-10,6,4,5,2956075,118243,4193500
96000182,2007-09-11,6,2,5,2859925,114397,1137500
96000183,2007-09-12,2,0,2,3379650,135186,1077500
96000184,2007-09-13,6,0,9,3010675,120427,1714500
96000185,2007-09-14,1,8,9,3037150,121486,1562500
96000186,2007-09-17,0,3,3,3143075,125723,2540000
