draw_no,draw_date,number_1,number_2,number_3,number_4,number_5,number_6,sales_amount,sales_count,total_prize
96000001,2007-01-02,13,21,23,27,31,49,12373375,494935,4827500
96000002,2007-01-05,12,19,23,42,44,48,16427250,657090,8168750
96000003,2007-01-09,26,28,35,39,44,45,16166800,646672,11223750
96000004,2007-01-12,10,16,26,28,31,33,18420625,736825,8490000
96000005,2007-01-16,13,28,33,38,43,48,17850650,714026,9162500
96000006,2007-01-19,06,26,27,44,45,46,18510550,740422,8696250
96000007,2007-01-23,06,07,15,31,36,44,18260450,730418,6771250
96000008,2007-01-26,08,13,18,26,34,36,18667725,746709,12426250
96000009,2007-01-30,06,18,26,39,42,45,17366000,694640,11318750
96000010,2007-02-02,07,08,10,12,47,48,18802100,752084,11407500
96000011,2007-02-06,12,16,26,32,41,48,18922650,756906,7097500
96000012,2007-02-09,07,28,30,41,45,48,20586950,823478,8070000
96000013,2007-02-13,02,08,25,39,43,46,20634100,825364,15455000
96000014,2007-02-16,18,19,27,34,44,48,22643700,905748,11561250
96000015,2007-02-20,01,13,19,33,38,45,24239975,969599,18496250
96000016,2007-02-23,05,13,25,30,39,48,27000800,1080032,8261250
96000017,2007-02-27,06,22,36,39,48,49,22451875,898075,9878750
96000018,2007-03-02,12,15,24,32,39,49,24036675,961467,8037500
96000019,2007-03-06,02,15,16,31,33,46,21374625,854985,7398750
96000020,2007-03-09,12,14,20,21,23,31,22680175,907207,15651250
96000021,2007-03-13,04,13,22,24,26,41,22233950,889358,20506250
96000022,2007-03-16,28,35,36,38,43,49,23651550,946062,14811250
96000023,2007-03-20,14,15,25,37,47,49,22733900,909356,8960000
96000024,2007-03-23,05,06,17,19,20,32,22583125,903325,13040000
96000025,2007-03-27,04,11,21,39,42,43,20639275,825571,12730000
96000026,2007-03-30,14,31,33,40,45,46,22470250,898810,18193750
96000027,2007-04-03,04,10,39,43,45,49,20815075,832603,8473750
96000028,2007-04-06,10,18,22,34,35,37,21785950,871438,13826250
96000029,2007-04-10,02,04,06,20,42,47,21608325,864333,8737500
96000030,2007-04-13,05,15,23,28,31,33,23399200,935968,22437500
96000031,2007-04-17,08,31,40,44,45,48,22882150,915286,21083750
96000032,2007-04-20,09,15,16,19,44,49,24118925,964757,12351250
96000033,2007-04-24,08,20,22,25,38,40,22610100,904404,12686250
96000034,2007-04-27,09,10,29,32,38,42,23869025,954761,9058750
96000035,2007-05-01,21,24,28,34,45,49,23225625,929025,14351250
96000036,2007-05-04,06,22,34,38,40,44,23215150,928606,8507500
96000037,2007-05-08,01,16,27,28,41,46,22125200,885008,8725000
96000038,2007-05-11,10,13,21,26,29,47,23280225,931209,12531250
96000039,2007-05-15,13,31,35,40,47,48,22261675,890467,11510000
96000040,2007-05-18,11,12,27,41,43,46,22910400,916416,12066250
